target_image,pair,layer,correct
2449442529-124445.jpg,2986408373-73286.jpg,2,
2901941401-292798.jpg,2898631468-68931.jpg,3,
2898618390-216538.jpg,2575120609-129862.jpg,3,
2964213381-294060.jpg,2981244394-145974.jpg,1,
2592380177-354626.jpg,2238117096-228518.jpg,3,
2446758985-197609.jpg,2864909447-362144.jpg,2,
2460547508-51571.jpg,2981232437-369759.jpg,2,
2883273443-68193.jpg,2898627427-366763.jpg,3,
2981231403-71642.jpg,2874305405-214397.jpg,2,
left.jpg,,,left
2238425482-313537.jpg,2238471391-240918.jpg,1,
2592380177-354629.jpg,2579432534-130704.jpg,2,
2460547467-349421.jpg,2981235446-294901.jpg,3,
2898618444-142233.jpg,2898631359-142721.jpg,1,
2575120738-55529.jpg,2238531493-28260.jpg,3,
2898633421-291973.jpg,2512876023-52283.jpg,1,
2458347385-199723.jpg,2238480434-93829.jpg,1,
2964216465-219242.jpg,2864900319-137787.jpg,2,
2238428357-313623.jpg,2984615361-295509.jpg,2,
2864910426-287204.jpg,2864902304-137862.jpg,1,
right.jpg,,,right
2238572663-35822.jpg,2864903351-286874.jpg,3,
2898635428-69104.jpg,2898625336-291572.jpg,3,
2238580740-186218.jpg,2238550816-254000.jpg,1,
2901939379-143480.jpg,2898632385-217139.jpg,3,
2898624426-291546.jpg,2981235446-294900.jpg,3,
2874303365-214262.jpg,2864911457-362260.jpg,3,
2874302418-65979.jpg,2238578544-111698.jpg,3,
2592379964-131054.jpg,2238479053-19457.jpg,2,
2238480677-317399.jpg,2238573546-258454.jpg,2,
2901952513-70703.jpg,2868469411-287540.jpg,2,
2452380832-348593.jpg,2238328478-11678.jpg,1,
2874299429-139694.jpg,2986447306-296584.jpg,1,
2449442529-124446.jpg,2446759803-49251.jpg,1,
left.jpg,,,left
2874307433-66280.jpg,2981246400-220365.jpg,2,
2864907432-362042.jpg,2864901420-212147.jpg,1,
2874299429-139695.jpg,2901942443-69923.jpg,2,
2898634397-367080.jpg,2901934408-69289.jpg,2,
2512875899-126682.jpg,2592380177-354628.jpg,2,
2238481198-19822.jpg,2862691449-137104.jpg,1,
2981241414-145842.jpg,2874301404-139813.jpg,2,
2238560245-182099.jpg,2238480980-168129.jpg,3,
left.jpg,,,left
2883268471-290842.jpg,2901947448-70314.jpg,3,
2964218374-144967.jpg,2446759306-271734.jpg,2,
2874302418-65978.jpg,2964224310-219528.jpg,1,
2901939379-143479.jpg,2964216376-294181.jpg,3,
right.jpg,,,right
2901947423-70311.jpg,2238573447-333826.jpg,2,
2898617468-68274.jpg,2901946439-144040.jpg,1,
2898635427-367120.jpg,2964221435-219434.jpg,1,
2883256307-365057.jpg,2611628310-206388.jpg,1,
2868474407-362883.jpg,2981246400-220363.jpg,2,
2446759803-49249.jpg,2901951392-368654.jpg,3,
2238481928-19949.jpg,2864900357-361688.jpg,2,
2964223381-294447.jpg,2898628438-68785.jpg,3,
2964222378-71332.jpg,2981240427-370099.jpg,3,
2874301407-363895.jpg,2446761374-124213.jpg,1,
2986451363-73599.jpg,2898626385-216899.jpg,1,
2986451363-73598.jpg,2984628361-295995.jpg,2,
2460547467-349422.jpg,2864909447-362146.jpg,3,
2452381505-199546.jpg,2994401319-148290.jpg,3,
2868475410-213219.jpg,2901946465-218350.jpg,1,
2883268412-365898.jpg,2984626312-370849.jpg,1,
